"Time","goodput","incoming_throughput","batch_size","interval","timeout","total_retries","total_retries_rate","completed_retries","completed_retries_rate","average_latency_of_finished_requests","postgres_network_rate_server1","postgres_network_rate_server2","postgres_network_rate_server3","postgres_network_receive_rate_server2","postgres_network_receive_rate_server3","postgres_network_receive_rate_server1","postgres_network_transmit_server2","postgres_network_transmit_server3","postgres_network_transmit_server1","node_network_usage_server1","node_network_usage_server2","node_network_usage_server3","node_avg_cpu_seconds_server1","node_avg_cpu_seconds_server2","node_avg_cpu_seconds_server3","node_avg_cpu_rate_server1","node_avg_cpu_rate_server2","node_avg_cpu_rate_server3","postgres_cpu_rate_server1","postgres_cpu_rate_server2","postgres_cpu_rate_server3","node_io_time_server1","node_io_time_server2","node_io_time_server3","node_io_rate_server1","node_io_rate_server2","node_io_rate_server3","node_memory_usage_server1","node_memory_usage_server2","node_memory_usage_server3","postgres_memory_usage_server2","postgres_memory_usage_server3","postgres_memory_usage_server1","jvm_threads_current_server1","jvm_threads_current_server2","jvm_threads_current_server3","jvm_threads_blocked_server1","jvm_threads_blocked_server2","jvm_threads_blocked_server3","jvm_heap_usage_server1","jvm_heap_usage_server2","jvm_heap_usage_server3","jvm_gc_usage_rate_20_server1","jvm_gc_usage_rate_20_server2","jvm_gc_usage_rate_20_server3"
2023-02-09 18:22:22,0,0,150000,300,600,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,45369,45282,45308,2081916,2084655,2081673,3.04,3.04,,0.000487,0.000578,0.000312,0.00711,0.0284,0.00356,15474,55524,14564,3305336832,3338940416,3314454528,78114816,80785408,79499264,34,21,19,0,0,0,95338104,62125360,62211480,0,0,0
2023-02-09 18:22:24,0,0,150000,300,600,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,45390,45273,45317,2081918,2084657,2081674,1.25,3.71,,0.000387,0,0,0.00711,0.0240,0.00978,15474,36409,13653,3306852352,3339505664,3313377280,78114816,80785408,79499264,34,21,19,0,0,0,95338104,78902576,62211480,0,0,0
2023-02-09 18:22:26,0,135362,150000,300,600,0,0,0,0,NaN,195507,0,0,0,0,177821,0,0,17686,45415,45261,45348,2081920,2084659,2081676,9.88,3.33,4.67,0.170,0,0,0.107,0.0569,0.0338,586183,364999,281259,3314081792,3344470016,3316011008,78114816,80785408,82718720,36,21,19,0,0,0,32613280,78902576,78988696,0.0513,0,0
2023-02-09 18:22:28,203158,338405,150000,300,600,0,0,0,0,0.263,437977,434808,430587,397403,392426,400335,37405,38161,37642,45439,45276,45379,2081922,2084661,2081678,7.96,3.96,4.04,0.302,0.344,0.256,0.156,0.0924,0.0773,988501,814649,685397,3328868352,3357958144,3324022784,82362368,86138880,86315008,36,21,19,0,0,0,49390496,78902576,78988696,0.0513,0,0
2023-02-09 18:22:30,440042,510467,150000,300,600,0,0,0,0,0.252,686252,650293,651621,590874,593787,625640,59419,57834,60613,45427,45302,45393,2081924,2084663,2081680,5.21,,11.2,0.270,0.470,0.219,0.188,0.111,0.149,1323463,980309,1085895,3344588800,3371429888,3340701696,85078016,89501696,87162880,36,21,19,0,0,0,66167712,95679792,95765912,0.0513,0,0
2023-02-09 18:22:32,476436,476436,150000,300,600,0,0,0,0,0.241,682846,649715,666017,592141,606853,620801,57574,59164,62045,45393,45316,45359,2081926,2084665,2081682,4.38,5.08,10.9,0.236,0.484,0.253,0.140,0.104,0.144,1779484,973028,1022180,3354427392,3375386624,3348279296,88854528,91070464,90116096,36,21,19,0,0,0,66167712,95679792,95765912,0.0513,0,0
2023-02-09 18:22:34,510467,510467,150000,300,600,0,0,0,0,0.240,661191,654463,676046,596482,616120,604114,57981,59926,57076,45409,45333,45373,2081928,2084667,2081684,,4.83,7.50,0.251,0.499,0.263,0.149,0.108,0.110,1854123,1018539,1028551,3358556160,3382489088,3356295168,91041792,94851072,94814208,36,21,19,0,0,0,82944928,32499584,95765912,0.0513,0.0513,0
2023-02-09 18:22:36,477129,477360,151200,300,600,0,0,0,0,0.240,377320,682284,676796,621937,617007,341740,60347,59789,35580,45410,45311,45398,2081930,2084668,2081686,9.04,11.3,4.50,0.269,0.554,0.277,0.0960,0.100,0.105,950272,966012,969387,3364192256,3388362752,3363000320,93945856,97656832,95068160,36,21,19,0,0,0,99722144,49276800,32997816,0.0513,0.0513,0.0513
2023-02-09 18:22:38,409991,581533,151200,300,600,2,0.442,0,0,0.236,717192,670480,637002,613086,580893,653925,57395,56109,63267,45428,45356,45392,2081931,2084670,2081688,6.42,,4.92,0.325,0.530,0.208,0.170,0.159,0.145,4915200,4933404,4714951,3371622400,3375996928,3360415744,115175424,98988032,119562240,39,22,22,0,0,1,34084096,49276800,49775032,0.103,0.0513,0.0513
2023-02-09 18:22:40,479671,548196,151200,300,600,2,0.442,2,0.442,0.374,748800,797439,688836,727036,628048,682716,70403,60788,66083,45434,45350,45392,2081933,2084672,2081690,10.00,4.88,6.54,0.310,0.800,0.224,0.169,0.166,0.142,4858766,4882432,4786859,3376025600,3377672192,3366043648,117059584,120983552,122294272,39,22,22,0,0,0,50861312,66054016,49775032,0.103,0.0513,0.0513
