"Time","goodput","incoming_throughput","batch_size","interval","timeout","total_retries","total_retries_rate","completed_retries","completed_retries_rate","average_latency_of_finished_requests","postgres_network_rate_server1","postgres_network_rate_server2","postgres_network_rate_server3","postgres_network_receive_rate_server1","postgres_network_receive_rate_server3","postgres_network_receive_rate_server2","postgres_network_transmit_server1","postgres_network_transmit_server3","postgres_network_transmit_server2","node_network_usage_server1","node_network_usage_server2","node_network_usage_server3","node_avg_cpu_seconds_server1","node_avg_cpu_seconds_server2","node_avg_cpu_seconds_server3","node_avg_cpu_rate_server1","node_avg_cpu_rate_server2","node_avg_cpu_rate_server3","postgres_cpu_rate_server1","postgres_cpu_rate_server2","postgres_cpu_rate_server3","node_io_time_server1","node_io_time_server2","node_io_time_server3","node_io_rate_server1","node_io_rate_server2","node_io_rate_server3","node_memory_usage_server1","node_memory_usage_server2","node_memory_usage_server3","postgres_memory_usage_server1","postgres_memory_usage_server3","postgres_memory_usage_server2","jvm_threads_current_server2","jvm_threads_current_server3","jvm_threads_current_server1","jvm_threads_blocked_server2","jvm_threads_blocked_server3","jvm_threads_blocked_server1","jvm_heap_usage_server2","jvm_heap_usage_server3","jvm_heap_usage_server1","jvm_gc_usage_rate_20_server2","jvm_gc_usage_rate_20_server3","jvm_gc_usage_rate_20_server1"
2023-05-29 15:47:36,,,3000,33,1000,0,,0,,,0,0,0,0,0,0,0,0,0,43741,43619,43525,338849,338911,339050,4.58,7.31,,0.000104,0.000132,0,0.0105,0.00758,0.0105,21989,19400,17677,3230650368,3229233152,3223625728,277663744,278798336,260165632,22,20,37,0,0,0,62097368,62150768,95512128,0,0,0
2023-05-29 15:47:36,0,0,3000,33,1000,0,0,0,0,NaN,385,0,0,188,0,0,197,0,0,43749,43629,43523,338850,338912,339051,6.42,4.42,7.73,0.0785,0.000132,0,0.0118,0.00926,0.0126,83231,80627,79756,3230601216,3227406336,3220213760,277729280,278798336,260165632,22,20,37,0,0,0,62097368,62150768,95512128,0,0,0
2023-05-29 15:47:37,0,0,3000,33,1000,0,0,0,0,NaN,474,436,0,232,0,217,243,0,219,43746,43635,43536,338850,338912,339051,2.00,1.85,0.468,0.0785,0.0435,0,0.0126,0.00926,0.0126,83645,80627,79773,3232165888,3231674368,3225726976,277729280,278798336,260022272,22,20,37,0,0,0,62097368,62150768,95512128,0,0,0
2023-05-29 15:47:37,0,0,3000,33,1000,0,0,0,0,NaN,474,436,0,232,0,217,243,0,219,43750,43634,43532,338851,338913,339052,4.29,5.61,1.83,0.0785,0.0435,0,0.0105,0.00926,0.0147,81066,80627,87525,3232522240,3231334400,3222061056,277729280,278798336,260022272,22,20,37,0,0,0,62097368,62150768,95512128,0,0,0
2023-05-29 15:47:38,0,0,3000,33,1000,0,0,0,0,NaN,390,436,0,191,0,217,200,0,219,43743,43636,43533,338851,338913,339052,5.67,4.43,8.85,0.0000286,0.0435,0,0.0337,0.0109,0.0126,110365,85369,83645,3233603584,3227824128,3221925888,277729280,278798336,260022272,22,20,37,0,0,0,62097368,62150768,95512128,0,0,0
2023-05-29 15:47:38,0,0,3000,33,1000,0,0,0,0,NaN,390,369,416,191,203,184,200,213,185,43741,43637,43529,338852,338913,339053,0.426,2.79,,0.0000286,0.0000559,0.0341,0.0337,0.00926,0.0126,110365,78902,83636,3234136064,3227971584,3222667264,277729280,278769664,260022272,22,20,37,0,0,0,62097368,62150768,95512128,0,0,0
2023-05-29 15:47:39,0,0,3000,33,1000,0,0,0,0,NaN,471,458,416,230,203,228,241,213,230,43750,43631,43540,338852,338914,339053,7.11,3.25,6.79,0.0000286,0.0000559,0.0341,0.0337,0.00926,0.0126,110376,78902,83645,3233300480,3233120256,3222208512,277729280,278769664,260022272,22,20,37,0,0,0,62097368,62150768,95512128,0,0,0
2023-05-29 15:47:39,0,0,3000,33,1000,0,0,0,0,NaN,471,458,416,230,203,228,241,213,230,43751,43626,43545,338853,338914,339054,4.58,5.98,1.72,0.0000286,0.0000559,0,0.0358,0.00926,0.0126,119862,78894,83653,3235889152,3227619328,3223732224,277729280,278769664,260022272,22,20,37,0,0,0,62097368,62150768,95512128,0,0,0
2023-05-29 15:47:40,0,0,3000,33,1000,0,0,0,0,NaN,377,458,416,184,203,228,193,213,230,43752,43630,43542,338853,338915,339054,,0.958,3.79,0,0.0000559,0,0.0358,0.00926,0.0126,119862,78894,83653,3236139008,3232862208,3224330240,277729280,278769664,260022272,22,20,37,0,0,0,62097368,62150768,95512128,0,0,0
2023-05-29 15:47:40,0,0,3000,33,1000,0,0,0,0,NaN,430,367,416,210,203,183,220,213,184,43753,43639,43537,338854,338915,339054,8.25,8.15,3.40,0,0,0,0.0358,0.0109,0.0126,119862,83645,83636,3236495360,3228901376,3224064000,277729280,278769664,260022272,22,20,37,0,0,0,62097368,62150768,95512128,0,0,0
