"Time","goodput","incoming_throughput","batch_size","interval","timeout","total_retries","total_retries_rate","completed_retries","completed_retries_rate","average_latency_of_finished_requests","postgres_network_rate_server1","postgres_network_rate_server2","postgres_network_rate_server3","postgres_network_receive_rate_server1","postgres_network_receive_rate_server3","postgres_network_receive_rate_server2","postgres_network_transmit_server1","postgres_network_transmit_server3","postgres_network_transmit_server2","node_network_usage_server1","node_network_usage_server2","node_network_usage_server3","node_avg_cpu_seconds_server1","node_avg_cpu_seconds_server2","node_avg_cpu_seconds_server3","node_avg_cpu_rate_server1","node_avg_cpu_rate_server2","node_avg_cpu_rate_server3","postgres_cpu_rate_server1","postgres_cpu_rate_server2","postgres_cpu_rate_server3","node_io_time_server1","node_io_time_server2","node_io_time_server3","node_io_rate_server1","node_io_rate_server2","node_io_rate_server3","node_memory_usage_server1","node_memory_usage_server2","node_memory_usage_server3","postgres_memory_usage_server1","postgres_memory_usage_server3","postgres_memory_usage_server2","jvm_threads_current_server2","jvm_threads_current_server3","jvm_threads_current_server1","jvm_threads_blocked_server2","jvm_threads_blocked_server3","jvm_threads_blocked_server1","jvm_heap_usage_server2","jvm_heap_usage_server3","jvm_heap_usage_server1","jvm_gc_usage_rate_20_server2","jvm_gc_usage_rate_20_server3","jvm_gc_usage_rate_20_server1"
2023-05-29 15:36:18,,,3000,33,1000,0,,0,,,0,0,0,0,0,0,0,0,0,43752,43696,43495,338210,338268,338407,5.06,8.60,9.96,0.00147,0.00157,0.00152,0.0118,0.0379,0.0109,101322,126747,88819,3196461056,3193438208,3214094336,192663552,191684608,187936768,22,20,37,0,0,0,62166408,62170000,78414768,0,0,0
2023-05-29 15:36:19,0,0,3000,33,1000,0,0,0,0,NaN,392,393,0,191,0,192,200,0,201,43761,43701,43493,338210,338269,338407,,3.97,,0.0195,0.0171,0.00152,0.0131,0.0371,0.0139,103058,122462,118556,3196956672,3192774656,3214692352,192815104,191684608,187895808,22,20,37,0,0,0,62166408,62170000,78414768,0,0,0
2023-05-29 15:36:19,0,0,3000,33,1000,0,0,0,0,NaN,392,393,378,191,185,192,200,193,201,43762,43701,43497,338211,338269,338408,9.76,,5.31,0.0195,0.0171,0.0235,0.0156,0.0387,0.0101,130641,127623,90974,3196182528,3189755904,3215740928,192815104,191836160,187895808,22,20,37,0,0,0,62166408,62170000,78414768,0,0,0
2023-05-29 15:36:20,0,0,3000,33,1000,0,0,0,0,NaN,482,484,441,235,215,236,247,225,248,43768,43701,43495,338211,338270,338408,4.39,4.42,2.75,0.0195,0.0171,0.0235,0.0118,0.0366,0.0101,96158,126760,90974,3196915712,3193491456,3215327232,192815104,191836160,187895808,22,20,37,0,0,0,62166408,62170000,78414768,0,0,0
2023-05-29 15:36:20,0,0,3000,33,1000,0,0,0,0,NaN,482,437,392,235,191,213,247,200,223,43755,43706,43510,338212,338270,338409,4.07,5.75,3.42,0.0195,0.0171,0.00136,0.0135,0.0366,0.0101,98304,126774,90993,3197640704,3189731328,3216150528,192815104,191807488,187895808,22,20,37,0,0,0,62166408,62170000,78414768,0,0,0
2023-05-29 15:36:21,0,0,3000,33,1000,0,0,0,0,NaN,384,391,429,188,210,191,196,220,200,43747,43692,43503,338212,338271,338409,,1.70,6.21,0.00149,0.00153,0.00136,0.0135,0.0366,0.00884,98304,127192,90121,3198009344,3190812672,3219480576,192733184,191807488,187895808,22,20,37,0,0,0,62166408,62170000,78414768,0,0,0
2023-05-29 15:36:21,0,0,3000,33,1000,0,0,0,0,NaN,431,456,412,211,201,223,221,210,233,43744,43705,43495,338213,338271,338410,9.74,5.85,3.00,0.00149,0.00153,0.00147,0.0126,0.0354,0.00884,97442,126343,90112,3198525440,3191181312,3222360064,192733184,191807488,187895808,22,20,37,0,0,0,62166408,62170000,78414768,0,0,0
2023-05-29 15:36:22,0,0,3000,33,1000,0,0,0,0,NaN,487,456,412,238,201,223,249,210,233,43743,43703,43493,338213,338271,338410,,3.58,3.50,0.00149,0.00153,0.00147,0.0126,0.0354,0.0105,97431,126343,117706,3200122880,3188752384,3218452480,192733184,191807488,187895808,22,20,37,0,0,0,62166408,62170000,78414768,0,0,0
2023-05-29 15:36:22,0,0,3000,33,1000,0,0,0,0,NaN,418,403,412,204,201,197,214,210,206,43742,43701,43479,338214,338272,338411,6.58,2.62,4.94,0.00156,0.00153,0.00147,0.0118,0.0354,0.00926,119849,126343,90103,3200335872,3194363904,3215347712,192638976,191807488,187895808,22,20,37,0,0,0,62166408,62170000,78414768,0,0,0
2023-05-29 15:36:23,0,0,3000,33,1000,0,0,0,0,NaN,418,412,408,204,199,201,214,208,211,43750,43698,43499,338214,338272,338411,3.13,6.08,6.44,0.00156,0.00169,0.00136,0.0101,0.0366,0.0105,92268,153940,102206,3201495040,3187777536,3214819328,192638976,191807488,187895808,22,20,37,0,0,0,62166408,62170000,78414768,0,0,0
